PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
204,1,3,M,18.0,0,0,8.05,S
205,0,3,F,2.0,0,1,10.46,S
206,0,3,M,32.0,1,0,15.85,S
207,1,3,M,26.0,0,0,18.78,C
208,1,3,F,16.0,0,0,7.75,Q
209,1,1,M,40.0,0,0,31.0,C
210,0,3,M,24.0,0,0,7.05,S
211,1,2,F,35.0,0,0,21.0,S
212,0,3,M,22.0,0,0,7.25,S
213,0,2,M,30.0,0,0,13.0,S
214,0,3,M,30.0,1,0,7.75,Q
215,1,1,F,31.0,1,0,113.25,C
216,1,3,F,27.0,0,0,7.926,S
217,0,2,M,42.0,1,0,27.0,S
218,1,1,F,32.0,0,0,76.3,C
219,0,2,M,30.0,0,0,10.5,S
220,1,3,M,16.0,0,0,8.05,S
221,0,2,M,27.0,0,0,13.0,S
222,0,3,M,51.0,0,0,8.05,S
223,0,3,M,30.0,0,0,7.895,S
224,1,1,M,38.0,1,0,90.0,S
225,0,3,M,22.0,0,0,9.35,S
226,1,2,M,19.0,0,0,10.5,S
227,0,3,M,20.5,0,0,7.25,S
228,0,2,M,18.0,0,0,13.0,S
229,0,3,F,21.0,3,1,25.47,S
230,1,1,F,35.0,1,0,83.5,S
231,0,3,M,29.0,0,0,7.773,S
232,0,2,M,59.0,0,0,13.5,S
233,1,3,F,5.0,4,2,31.39,S
234,0,2,M,24.0,0,0,10.5,S
235,0,3,F,21.0,0,0,7.55,S
236,0,2,M,44.0,1,0,26.0,S
237,1,2,F,8.0,0,2,26.25,S
238,0,2,M,19.0,0,0,10.5,S
239,0,2,M,33.0,0,0,12.27,S
240,0,3,F,21.0,1,0,14.45,C
241,1,3,F,21.0,1,0,15.5,Q
242,0,2,M,29.0,0,0,10.5,S
243,0,3,M,22.0,0,0,7.125,S
244,0,3,M,30.0,0,0,7.227,C
245,0,1,M,44.0,2,0,90.0,Q
246,0,3,F,25.0,0,0,7.773,S
247,1,2,F,24.0,0,2,14.5,S
248,1,1,M,37.0,1,1,52.56,S
249,0,2,M,54.0,1,0,26.0,S
250,0,3,M,30.0,0,0,7.25,S
251,0,3,F,29.0,1,1,10.46,S
252,0,1,M,62.0,0,0,26.55,S
253,0,3,M,30.0,1,0,16.1,S
254,0,3,F,41.0,0,2,20.22,S
255,1,3,F,29.0,0,2,15.24,C
256,1,1,F,35.0,0,0,79.2,C
257,1,1,F,30.0,0,0,86.5,S
258,1,1,F,35.0,0,0,512.5,C
259,1,2,F,50.0,0,1,26.0,S
260,0,3,M,30.0,0,0,7.75,Q
261,1,3,M,3.0,4,2,31.39,S
262,0,1,M,52.0,1,1,79.6,S
263,0,1,M,40.0,0,0,0.0,S
264,0,3,F,21.0,0,0,7.75,Q
265,0,2,M,36.0,0,0,10.5,S
266,0,3,M,16.0,4,1,39.7,S
267,1,3,M,25.0,1,0,7.773,S
268,1,1,F,58.0,0,1,153.5,S
269,1,1,F,35.0,0,0,135.6,S
270,0,1,M,30.0,0,0,31.0,S
271,1,3,M,25.0,0,0,0.0,S
272,1,2,F,41.0,0,1,19.5,S
273,0,1,M,37.0,0,1,29.7,C
274,1,3,F,21.0,0,0,7.75,Q
275,1,1,F,63.0,1,0,77.94,S
276,0,3,F,45.0,0,0,7.75,S
277,0,2,M,30.0,0,0,0.0,S
278,0,3,M,7.0,4,1,29.12,Q
279,1,3,F,35.0,1,1,20.25,S
280,0,3,M,65.0,0,0,7.75,Q
281,0,3,M,28.0,0,0,7.855,S
282,0,3,M,16.0,0,0,9.5,S
283,1,3,M,19.0,0,0,8.05,S
284,0,1,M,30.0,0,0,26.0,S
285,0,3,M,33.0,0,0,8.664,C
286,1,3,M,30.0,0,0,9.5,S
287,0,3,M,22.0,0,0,7.895,S
288,1,2,M,42.0,0,0,13.0,S
289,1,3,F,22.0,0,0,7.75,Q
290,1,1,F,26.0,0,0,78.9,S
291,1,1,F,19.0,1,0,91.06,C
292,0,2,M,36.0,0,0,12.875,C
293,0,3,F,24.0,0,0,8.85,S
294,0,3,M,24.0,0,0,7.895,S
295,0,1,M,30.0,0,0,27.72,C
296,0,3,M,23.5,0,0,7.23,C
297,0,1,F,2.0,1,2,151.5,S
298,1,1,M,30.0,0,0,30.5,S
299,1,1,F,50.0,0,1,247.5,C
300,1,3,F,21.0,0,0,7.75,Q
301,1,3,M,30.0,2,0,23.25,Q
302,0,3,M,19.0,0,0,0.0,S
303,1,2,F,21.0,0,0,12.35,Q
304,0,3,M,30.0,0,0,8.05,S
305,1,1,M,0.92,1,2,151.5,S
306,1,1,F,21.0,0,0,110.9,C
307,1,1,F,17.0,1,0,108.9,C
308,0,2,M,30.0,1,0,24.0,C
309,1,1,F,30.0,0,0,56.94,C
310,1,1,F,24.0,0,0,83.2,C
311,1,1,F,18.0,2,2,262.5,C
312,0,2,F,26.0,1,1,26.0,S
313,0,3,M,28.0,0,0,7.895,S
314,0,2,M,43.0,1,1,26.25,S
315,1,3,F,26.0,0,0,7.855,S
316,1,2,F,24.0,1,0,26.0,S
317,0,2,M,54.0,0,0,14.0,S
318,1,1,F,31.0,0,2,164.9,S
319,1,1,F,40.0,1,1,134.5,C
320,0,3,M,22.0,0,0,7.25,S
321,0,3,M,27.0,0,0,7.895,S
322,1,2,F,30.0,0,0,12.35,Q
323,1,2,F,22.0,1,1,29.0,S
324,0,3,M,30.0,8,2,69.56,S
325,1,1,F,36.0,0,0,135.6,C
326,0,3,M,61.0,0,0,6.24,S
327,1,2,F,36.0,0,0,13.0,S
328,1,3,F,31.0,1,1,20.53,S
329,1,1,F,16.0,0,1,57.97,C
330,1,3,F,21.0,2,0,23.25,Q
331,0,1,M,45.5,0,0,28.5,S
332,0,1,M,38.0,0,1,153.5,S
333,0,3,M,16.0,2,0,18.0,S
334,1,1,F,35.0,1,0,133.6,S
335,0,3,M,30.0,0,0,7.895,S
336,0,1,M,29.0,1,0,66.6,S
337,1,1,F,41.0,0,0,134.5,C
338,1,3,M,45.0,0,0,8.05,S
339,0,1,M,45.0,0,0,35.5,S
340,1,2,M,2.0,1,1,26.0,S
341,1,1,F,24.0,3,2,263.0,S
342,0,2,M,28.0,0,0,13.0,S
343,0,2,M,25.0,0,0,13.0,S
344,0,2,M,36.0,0,0,13.0,S
345,1,2,F,24.0,0,0,13.0,S
346,1,2,F,40.0,0,0,13.0,S
347,1,3,F,35.0,1,0,16.1,S
348,1,3,M,3.0,1,1,15.9,S
349,0,3,M,42.0,0,0,8.664,S
350,0,3,M,23.0,0,0,9.23,S
351,0,1,M,30.0,0,0,35.0,S
352,0,3,M,15.0,1,1,7.23,C
353,0,3,M,25.0,1,0,17.8,S
354,0,3,M,30.0,0,0,7.227,C
355,0,3,M,28.0,0,0,9.5,S
356,1,1,F,22.0,0,1,55.0,S
357,0,2,F,38.0,0,0,13.0,S
358,1,3,F,21.0,0,0,7.88,Q
359,1,3,F,21.0,0,0,7.88,Q
360,0,3,M,40.0,1,4,27.9,S
361,0,2,M,29.0,1,0,27.72,C
362,0,3,F,45.0,0,1,14.45,C
363,0,3,M,35.0,0,0,7.05,S
364,0,3,M,30.0,1,0,15.5,Q
365,0,3,M,30.0,0,0,7.25,S
366,1,1,F,60.0,1,0,75.25,C
367,1,3,F,35.0,0,0,7.23,C
368,1,3,F,21.0,0,0,7.75,Q
369,1,1,F,24.0,0,0,69.3,C
370,1,1,M,25.0,1,0,55.44,C
371,0,3,M,18.0,1,0,6.496,S
372,0,3,M,19.0,0,0,8.05,S
373,0,1,M,22.0,0,0,135.6,C
374,0,3,F,3.0,3,1,21.08,S
375,1,1,F,35.0,1,0,82.2,C
376,1,3,F,22.0,0,0,7.25,S
377,0,1,M,27.0,0,2,211.5,C
378,0,3,M,20.0,0,0,4.01,C
379,0,3,M,19.0,0,0,7.773,S
380,1,1,F,42.0,0,0,227.5,C
381,1,3,F,1.0,0,2,15.74,C
382,0,3,M,32.0,0,0,7.926,S
383,1,1,F,35.0,1,0,52.0,S
384,0,3,M,30.0,0,0,7.895,S
385,0,2,M,18.0,0,0,73.5,S
386,0,3,M,1.0,5,2,46.9,S
387,1,2,F,36.0,0,0,13.0,S
388,0,3,M,30.0,0,0,7.73,Q
389,1,2,F,17.0,0,0,12.0,C
390,1,1,M,36.0,1,2,120.0,S
391,1,3,M,21.0,0,0,7.797,S
392,0,3,M,28.0,2,0,7.926,S
393,1,1,F,23.0,1,0,113.25,C
394,1,3,F,24.0,0,2,16.7,S
395,0,3,M,22.0,0,0,7.797,S
396,0,3,F,31.0,0,0,7.855,S
397,0,2,M,46.0,0,0,26.0,S
398,0,2,M,23.0,0,0,10.5,S
399,1,2,F,28.0,0,0,12.65,S
400,1,3,M,39.0,0,0,7.926,S
401,0,3,M,26.0,0,0,8.05,S
402,0,3,F,21.0,1,0,9.83,S
403,0,3,M,28.0,1,0,15.85,S
404,0,3,F,20.0,0,0,8.664,S
405,0,2,M,34.0,1,0,21.0,S
406,0,3,M,51.0,0,0,7.75,S
407,1,2,M,3.0,1,1,18.75,S
408,0,3,M,21.0,0,0,7.773,S
409,0,3,F,21.0,3,1,25.47,S
410,0,3,M,30.0,0,0,7.895,S
411,0,3,M,30.0,0,0,6.86,Q
412,1,1,F,33.0,1,0,90.0,Q
413,0,2,M,30.0,0,0,0.0,S
414,1,3,M,44.0,0,0,7.926,S
415,0,3,F,35.0,0,0,8.05,S
416,1,2,F,34.0,1,1,32.5,S
417,1,2,F,18.0,0,2,13.0,S
418,0,2,M,30.0,0,0,13.0,S
419,0,3,F,10.0,0,2,24.16,S
420,0,3,M,30.0,0,0,7.895,C
421,0,3,M,21.0,0,0,7.734,Q
422,0,3,M,29.0,0,0,7.875,S
423,0,3,F,28.0,1,1,14.4,S
424,0,3,M,18.0,1,1,20.22,S
425,0,3,M,30.0,0,0,7.25,S
426,1,2,F,28.0,1,0,26.0,S
427,1,2,F,19.0,0,0,26.0,S
428,0,3,M,30.0,0,0,7.75,Q
429,1,3,M,32.0,0,0,8.05,S
430,1,1,M,28.0,0,0,26.55,S
431,1,3,F,35.0,1,0,16.1,S
432,1,2,F,42.0,1,0,26.0,S
433,0,3,M,17.0,0,0,7.125,S
434,0,1,M,50.0,1,0,55.9,S
435,1,1,F,14.0,1,2,120.0,S
436,0,3,F,21.0,2,2,34.38,S
437,1,2,F,24.0,2,3,18.75,S
438,0,1,M,64.0,1,4,263.0,S
439,0,2,M,31.0,0,0,10.5,S
440,1,2,F,45.0,1,1,26.25,S
441,0,3,M,20.0,0,0,9.5,S
442,0,3,M,25.0,1,0,7.773,S
443,1,2,F,28.0,0,0,13.0,S
444,1,3,M,30.0,0,0,8.11,S
445,1,1,M,4.0,0,2,81.9,S
446,1,2,F,13.0,0,1,19.5,S
447,1,1,M,34.0,0,0,26.55,S
448,1,3,F,5.0,2,1,19.27,C
449,1,1,M,52.0,0,0,30.5,S
450,0,2,M,36.0,1,2,27.75,S
451,0,3,M,30.0,1,0,19.97,S
452,0,1,M,30.0,0,0,27.75,C
453,1,1,M,49.0,1,0,89.1,C
454,0,3,M,30.0,0,0,8.05,S
455,1,3,M,29.0,0,0,7.895,C
456,0,1,M,65.0,0,0,26.55,S
457,1,1,F,35.0,1,0,51.88,S
458,1,2,F,50.0,0,0,10.5,S
459,0,3,M,30.0,0,0,7.75,Q
460,1,1,M,48.0,0,0,26.55,S
461,0,3,M,34.0,0,0,8.05,S
462,0,1,M,47.0,0,0,38.5,S
463,0,2,M,48.0,0,0,13.0,S
464,0,3,M,30.0,0,0,8.05,S
465,0,3,M,38.0,0,0,7.05,S
466,0,2,M,30.0,0,0,0.0,S
467,0,1,M,56.0,0,0,26.55,S
468,0,3,M,30.0,0,0,7.727,Q
469,1,3,F,0.75,2,1,19.27,C
470,0,3,M,30.0,0,0,7.25,S
471,0,3,M,38.0,0,0,8.664,S
472,1,2,F,33.0,1,2,27.75,S
473,1,2,F,23.0,0,0,13.79,C
474,0,3,F,22.0,0,0,9.836,S
475,0,1,M,30.0,0,0,52.0,S
476,0,2,M,34.0,1,0,21.0,S
477,0,3,M,29.0,1,0,7.047,S
478,0,3,M,22.0,0,0,7.52,S
479,1,3,F,2.0,0,1,12.29,S
480,0,3,M,9.0,5,2,46.9,S
481,0,2,M,30.0,0,0,0.0,S
482,0,3,M,50.0,0,0,8.05,S
483,1,3,F,63.0,0,0,9.586,S
484,1,1,M,25.0,1,0,91.06,C
485,0,3,F,21.0,3,1,25.47,S
486,1,1,F,35.0,1,0,90.0,S
487,0,1,M,58.0,0,0,29.7,C
488,0,3,M,30.0,0,0,8.05,S
489,1,3,M,9.0,1,1,15.9,S
490,0,3,M,30.0,1,0,19.97,S
491,0,3,M,21.0,0,0,7.25,S
492,0,1,M,55.0,0,0,30.5,S
493,0,1,M,71.0,0,0,49.5,C
494,0,3,M,21.0,0,0,8.05,S
495,0,3,M,30.0,0,0,14.46,C
496,1,1,F,54.0,1,0,78.25,C
497,0,3,M,30.0,0,0,15.1,S
498,0,1,F,25.0,1,2,151.5,S
499,0,3,M,24.0,0,0,7.797,S
500,0,3,M,17.0,0,0,8.664,S
501,0,3,F,21.0,0,0,7.75,Q
502,0,3,F,21.0,0,0,7.63,Q
503,0,3,F,37.0,0,0,9.586,S
504,1,1,F,16.0,0,0,86.5,S
505,0,1,M,18.0,1,0,108.9,C
506,1,2,F,33.0,0,2,26.0,S
507,1,1,M,30.0,0,0,26.55,S
508,0,3,M,28.0,0,0,22.53,S
509,1,3,M,26.0,0,0,56.5,S
510,1,3,M,29.0,0,0,7.75,Q
511,0,3,M,30.0,0,0,8.05,S
512,1,1,M,36.0,0,0,26.28,S
513,1,1,F,54.0,1,0,59.4,C
514,0,3,M,24.0,0,0,7.496,S
515,0,1,M,47.0,0,0,34.03,S
516,1,2,F,34.0,0,0,10.5,S
517,0,3,M,30.0,0,0,24.16,Q
518,1,2,F,36.0,1,0,26.0,S
519,0,3,M,32.0,0,0,7.895,S
520,1,1,F,30.0,0,0,93.5,S
521,0,3,M,22.0,0,0,7.895,S
522,0,3,M,30.0,0,0,7.227,C
523,1,1,F,44.0,0,1,57.97,C
524,0,3,M,30.0,0,0,7.23,C
525,0,3,M,40.5,0,0,7.75,Q
526,1,2,F,50.0,0,0,10.5,S
527,0,1,M,30.0,0,0,221.8,S
528,0,3,M,39.0,0,0,7.926,S
529,0,2,M,23.0,2,1,11.5,S
530,1,2,F,2.0,1,1,26.0,S
531,0,3,M,30.0,0,0,7.23,C
532,0,3,M,17.0,1,1,7.23,C
533,1,3,F,35.0,0,2,22.36,C
534,0,3,F,30.0,0,0,8.664,S
535,1,2,F,7.0,0,2,26.25,S
536,0,1,M,45.0,0,0,26.55,S
537,1,1,F,30.0,0,0,106.44,C
538,0,3,M,30.0,0,0,14.5,S
539,1,1,F,22.0,0,2,49.5,C
540,1,1,F,36.0,0,2,71.0,S
541,0,3,F,9.0,4,2,31.28,S
542,0,3,F,11.0,4,2,31.28,S
543,1,2,M,32.0,1,0,26.0,S
544,0,1,M,50.0,1,0,106.44,C
545,0,1,M,64.0,0,0,26.0,S
546,1,2,F,19.0,1,0,26.0,S
547,1,2,M,30.0,0,0,13.86,C
548,0,3,M,33.0,1,1,20.53,S
549,1,2,M,8.0,1,1,36.75,S
550,1,1,M,17.0,0,2,110.9,C
551,0,2,M,27.0,0,0,26.0,S
552,0,3,M,30.0,0,0,7.83,Q
553,1,3,M,22.0,0,0,7.227,C
554,1,3,F,22.0,0,0,7.773,S
555,0,1,M,62.0,0,0,26.55,S
556,1,1,F,48.0,1,0,39.6,C
557,0,1,M,30.0,0,0,227.5,C
558,1,1,F,39.0,1,1,79.6,S
559,1,3,F,36.0,1,0,17.4,S
560,0,3,M,30.0,0,0,7.75,Q
561,0,3,M,40.0,0,0,7.895,S
562,0,2,M,28.0,0,0,13.5,S
563,0,3,M,30.0,0,0,8.05,S
564,0,3,F,21.0,0,0,8.05,S
565,0,3,M,24.0,2,0,24.16,S
566,0,3,M,19.0,0,0,7.895,S
567,0,3,F,29.0,0,4,21.08,S
568,0,3,M,30.0,0,0,7.23,C
569,1,3,M,32.0,0,0,7.855,S
570,1,2,M,62.0,0,0,10.5,S
571,1,1,F,53.0,2,0,51.47,S
572,1,1,M,36.0,0,0,26.39,S
573,1,3,F,21.0,0,0,7.75,Q
574,0,3,M,16.0,0,0,8.05,S
575,0,3,M,19.0,0,0,14.5,S
576,1,2,F,34.0,0,0,13.0,S
577,1,1,F,39.0,1,0,55.9,S
578,0,3,F,35.0,1,0,14.46,C
579,1,3,M,32.0,0,0,7.926,S
580,1,2,F,25.0,1,1,30.0,S
581,1,1,F,39.0,1,1,110.9,C
582,0,2,M,54.0,0,0,26.0,S
583,0,1,M,36.0,0,0,40.12,C
584,0,3,M,30.0,0,0,8.71,C
585,1,1,F,18.0,0,2,79.6,S
586,0,2,M,47.0,0,0,15.0,S
587,1,1,M,60.0,1,1,79.2,C
588,0,3,M,22.0,0,0,8.05,S
589,0,3,M,30.0,0,0,8.05,S
590,0,3,M,35.0,0,0,7.125,S
591,1,1,F,52.0,1,0,78.25,C
592,0,3,M,47.0,0,0,7.25,S
593,0,3,F,21.0,0,2,7.75,Q
594,0,2,M,37.0,1,0,26.0,S
595,0,3,M,36.0,1,1,24.16,S
596,1,2,F,21.0,0,0,33.0,S
597,0,3,M,49.0,0,0,0.0,S
598,0,3,M,30.0,0,0,7.227,C
599,1,1,M,49.0,1,0,56.94,C
600,1,2,F,24.0,2,1,27.0,S
601,0,3,M,30.0,0,0,7.895,S
602,0,1,M,30.0,0,0,42.4,S
603,0,3,M,44.0,0,0,8.05,S
604,1,1,M,35.0,0,0,26.55,C
605,0,3,M,36.0,1,0,15.55,S
606,0,3,M,30.0,0,0,7.895,S
607,1,1,M,27.0,0,0,30.5,S
608,1,2,F,22.0,1,2,41.6,C
609,1,1,F,40.0,0,0,153.5,S
610,0,3,F,39.0,1,5,31.28,S
611,0,3,M,30.0,0,0,7.05,S
612,1,3,F,21.0,1,0,15.5,Q
613,0,3,M,30.0,0,0,7.75,Q
614,0,3,M,35.0,0,0,8.05,S
615,1,2,F,24.0,1,2,65.0,S
616,0,3,M,34.0,1,1,14.4,S
617,0,3,F,26.0,1,0,16.1,S
618,1,2,F,4.0,2,1,39.0,S
619,0,2,M,26.0,0,0,10.5,S
620,0,3,M,27.0,1,0,14.45,C
621,1,1,M,42.0,1,0,52.56,S
622,1,3,M,20.0,1,1,15.74,C
623,0,3,M,21.0,0,0,7.855,S
624,0,3,M,21.0,0,0,16.1,S
625,0,1,M,61.0,0,0,32.3,S
626,0,2,M,57.0,0,0,12.35,Q
627,1,1,F,21.0,0,0,77.94,S
628,0,3,M,26.0,0,0,7.895,S
629,0,3,M,30.0,0,0,7.734,Q
